image_path,book_index,title_truth,author_truth,condition,engine,preprocessing,raw_text,mean_confidence,n_lines,elapsed_preprocessing_s,elapsed_ocr_s
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_frontal.png,0,Cien años de soledad,Gabriel Garcia Marquez,frontal,easyocr,False,Cien años de | soledad | Gabriel Garcia Marquez,0.9065813034661877,3,6.00004568696022e-07,7.9677666000206955
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_frontal.png,0,Cien años de soledad,Gabriel Garcia Marquez,frontal,paddleocr,False,Cien anos de | soledad | Gabriel Garcia Marquez,0.994140088558197,3,6.00004568696022e-07,5.777399199956562
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_frontal.png,0,Cien años de soledad,Gabriel Garcia Marquez,frontal,easyocr,True,Cien años de | soledad | Gabriel Garcia Marquez,0.848117637239456,3,0.018691500008571893,5.729518499982078
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_frontal.png,0,Cien años de soledad,Gabriel Garcia Marquez,frontal,paddleocr,True,Cien anos de | soledad | Gabriel Garcia Marguez,0.9841511050860087,3,0.018691500008571893,0.19193289999384433
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_rotada.png,0,Cien años de soledad,Gabriel Garcia Marquez,rotada,easyocr,False,de | Cien | Gabriel | Marquez | años | soledad | Garcia,0.9842728021823844,7,4.300032742321491e-06,6.612622599990573
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_rotada.png,0,Cien años de soledad,Gabriel Garcia Marquez,rotada,paddleocr,False,Cien anos de | soledad | oriel Garcia Marquez,0.9885203838348389,3,4.300032742321491e-06,0.25517219997709617
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_rotada.png,0,Cien años de soledad,Gabriel Garcia Marquez,rotada,easyocr,True,Cien años de | soledad | Giabriel Garcia Marquez,0.8992556782744172,3,0.027826700010336936,6.539407700009178
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_rotada.png,0,Cien años de soledad,Gabriel Garcia Marquez,rotada,paddleocr,True,Cien anos de | soledad | Gabriel Garcia Marquez,0.9814833402633667,3,0.027826700010336936,0.25595620000967756
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_poca_luz.png,0,Cien años de soledad,Gabriel Garcia Marquez,poca_luz,easyocr,False,Cien años de | soledad | Gabriel Garcia Marquez,0.9202060320023285,3,5.199981387704611e-06,7.046765699982643
C:\Users\34626\OneDrive\Escritorio\Master_Ciencia_de_Datos\TFM\TFM_BookVision\data\test\synthetic\00_poca_luz.png,0,Cien años de soledad,Gabriel Garcia Marquez,poca_luz,paddleocr,False,Cien anos de | soledad | Gabriel Garcia Marquez,0.9869023362795512,3,5.199981387704611e-06,0.319972500030417
